date,num_queries,result_limit,new_likes,already_liked,tot_queries_made
2021-01-06,66,150,194,5639,5833
2021-01-07,66,150,197,5619,5816
2021-01-08,66,150,254,5675,5929
2021-01-09,66,150,181,5836,6017
2021-01-10,66,150,126,5932,6058
2021-01-11,66,150,161,5930,6091
2021-01-12,66,150,236,5915,6151
2021-01-13,66,150,240,5926,6166
2021-01-14,66,150,226,5845,6071
2021-01-15,66,150,233,5923,6156
2021-01-16,66,150,196,5947,6143
2021-01-17,66,150,94,6012,6106
2021-01-18,66,150,210,5869,6079
2021-01-19,66,150,250,5895,6145
2021-01-20,66,150,186,5963,6149
2021-01-21,66,150,243,5835,6078
2021-01-22,66,150,60,6050,6110
2021-01-23,66,150,57,6077,6134
2021-01-24,66,150,57,5970,6027
2021-01-25,90,200,76,8322,8398
2021-01-26,90,200,75,8368,8443
2021-01-27,90,200,85,8428,8513
2021-01-28,90,200,87,8555,8642
2021-01-29,90,200,91,8594,8685
2021-01-30,90,200,77,8600,8677
2021-01-31,109,200,211,10133,10344
2021-02-01,109,200,181,10175,10356
2021-02-02,109,200,111,10177,10288
2021-02-03,109,200,96,10289,10385
2021-02-04,109,200,106,10177,10283
2021-02-05,128,200,116,11862,11978
2021-02-06,128,200,102,11798,11900
2021-02-07,128,200,99,11669,11768
2021-02-08,128,200,87,11889,11976
2021-02-09,128,200,108,11888,11996
2021-02-10,128,200,114,11804,11918
2021-02-11,128,200,126,11644,11770
2021-02-12,128,200,118,11755,11873
2021-02-13,128,200,108,11820,11928
2021-02-14,128,200,108,11771,11879
2021-02-15,128,200,92,11682,11774
2021-02-16,128,200,120,11675,11795
2021-02-17,128,200,120,11839,11959
2021-02-18,128,200,130,11787,11917
2021-02-19,128,200,108,11772,11880
2021-02-20,128,200,96,11819,11915
2021-02-21,128,200,119,11794,11913
2021-02-22,128,200,118,11752,11870
2021-02-23,128,200,112,11809,11921
2021-02-24,128,200,109,11863,11972
2021-02-25,128,200,161,11829,11990
2021-02-26,128,200,115,11898,12013
2021-02-27,128,200,91,11787,11878
2021-02-28,128,200,112,11809,11921
2021-03-01,128,200,295,11637,11932
2021-03-02,128,200,171,11788,11959
2021-03-03,128,200,113,11885,11998
2021-03-04,128,200,131,11758,11889
2021-03-05,128,200,121,11780,11901
2021-03-06,128,200,124,11715,11839
2021-03-07,128,200,104,11837,11941
2021-03-08,128,200,192,11665,11857
2021-03-09,128,200,166,11683,11849
2021-03-10,128,200,300,11641,11941
2021-03-11,128,200,120,11701,11821
2021-03-12,128,200,226,11727,11953
2021-03-13,128,200,178,11770,11948
2021-03-14,128,200,176,11791,11967
2021-03-15,128,200,241,11667,11908
2021-03-16,128,200,195,11771,11966
2021-03-17,128,200,183,11834,12017
2021-03-18,128,200,135,11728,11863
